train_mae_step,train_mse_step,train_pearson_r_step,train_r2_step,train_loss_step,epoch,step,val_mae,val_mse,val_pearson_r,val_r2,val_loss,train_mae,train_mse,train_pearson_r,train_r2,train_loss,test_kendall_tau,test_mae,test_mse,test_pearson_r,test_r2,test_loss
1.2325563430786133,3.04048752784729,0.9953987002372742,0.990702211856842,3.04048752784729,17,6249,,,,,,,,,,,,,,,,
1.5701496601104736,11.05787467956543,0.9861025214195251,0.9716440439224243,11.05787467956543,17,6299,,,,,,,,,,,,,,,,
,,,,,17,6335,1.3010088205337524,2.9863431453704834,0.9965702295303345,0.9924878478050232,2.986224889755249,,,,,,,,,,,
,,,,,17,6335,,,,,,1.3547834157943726,3.633023262023926,0.9953466057777405,0.9907082319259644,3.63250732421875,,,,,,
1.2923271656036377,3.0268654823303223,0.9951834082603455,0.9902372360229492,3.0268654823303223,18,6349,,,,,,,,,,,,,,,,
1.0877385139465332,2.1177892684936523,0.996766984462738,0.9934226870536804,2.1177892684936523,18,6399,,,,,,,,,,,,,,,,
1.12532377243042,2.177840232849121,0.997408390045166,0.9947978258132935,2.177840232849121,18,6449,,,,,,,,,,,,,,,,
1.2142791748046875,2.5633625984191895,0.9965052008628845,0.9929884076118469,2.5633625984191895,18,6499,,,,,,,,,,,,,,,,
1.1420409679412842,2.5007591247558594,0.9966149926185608,0.9930000305175781,2.5007591247558594,18,6549,,,,,,,,,,,,,,,,
1.328122615814209,3.0590481758117676,0.9969597458839417,0.9926268458366394,3.0590481758117676,18,6599,,,,,,,,,,,,,,,,
1.1763018369674683,2.4683456420898438,0.9973742961883545,0.9941887259483337,2.4683456420898438,18,6649,,,,,,,,,,,,,,,,
,,,,,18,6687,1.262617588043213,3.07043194770813,0.9966375231742859,0.9922763109207153,3.0703799724578857,,,,,,,,,,,
,,,,,18,6687,,,,,,1.3234093189239502,3.461466073989868,0.9955682158470154,0.9911468625068665,3.462587594985962,,,,,,
1.3812241554260254,3.260108470916748,0.9962395429611206,0.9921058416366577,3.260108470916748,19,6699,,,,,,,,,,,,,,,,
1.5128097534179688,4.262930870056152,0.9961314797401428,0.9887501001358032,4.262930870056152,19,6749,,,,,,,,,,,,,,,,
1.4232014417648315,3.111785888671875,0.997572660446167,0.9916386008262634,3.111785888671875,19,6799,,,,,,,,,,,,,,,,
1.8689885139465332,4.807559013366699,0.9968984127044678,0.9872536659240723,4.807559013366699,19,6849,,,,,,,,,,,,,,,,
1.2167410850524902,2.65865421295166,0.9975934028625488,0.9945534467697144,2.65865421295166,19,6899,,,,,,,,,,,,,,,,
1.637441873550415,4.460076808929443,0.9962165355682373,0.9875571131706238,4.460076808929443,19,6949,,,,,,,,,,,,,,,,
1.2070211172103882,3.081681728363037,0.9970955848693848,0.9923873543739319,3.081681728363037,19,6999,,,,,,,,,,,,,,,,
,,,,,19,7039,1.0835158824920654,2.313430070877075,0.9971835613250732,0.9941805601119995,2.3133432865142822,,,,,,,,,,,
,,,,,19,7039,,,,,,1.3372247219085693,3.4927709102630615,0.9955347776412964,0.9910675287246704,3.492116928100586,,,,,,
